Date,Time,Result,Score,Confidence
2026-03-30,11:46:49,NON-COMPLIANT,1.0000,100.00%
2026-03-30,14:20:10,NON-COMPLIANT,1.0000,100.00%
2026-03-30,16:25:19,NON-COMPLIANT,0.9980,99.61%
2026-03-30,16:29:27,NON-COMPLIANT,0.9953,99.05%
2026-03-30,16:29:27,NON-COMPLIANT,0.9999,99.98%
2026-03-30,16:29:27,COMPLIANT,0.3713,25.74%
2026-03-30,16:29:29,COMPLIANT,0.2267,54.66%
2026-03-30,16:29:30,NON-COMPLIANT,0.8659,73.18%
2026-03-30,16:29:32,NON-COMPLIANT,0.9482,89.65%
2026-03-30,16:29:33,NON-COMPLIANT,0.9563,91.25%
2026-03-30,16:29:35,NON-COMPLIANT,0.9850,97.00%
2026-03-30,16:29:37,NON-COMPLIANT,0.9660,93.21%
2026-03-30,16:29:38,NON-COMPLIANT,0.9345,86.90%
2026-03-30,16:29:39,NON-COMPLIANT,0.9789,95.78%
2026-03-30,16:29:41,NON-COMPLIANT,0.9280,85.60%
2026-03-30,16:29:42,NON-COMPLIANT,0.8749,74.98%
2026-03-30,16:30:05,NON-COMPLIANT,0.9406,88.12%
2026-03-30,16:30:07,NON-COMPLIANT,0.9813,96.26%
2026-03-30,16:30:08,NON-COMPLIANT,0.9365,87.30%
2026-03-30,16:30:10,NON-COMPLIANT,0.9089,81.78%
2026-03-30,16:30:11,NON-COMPLIANT,0.9258,85.16%
2026-03-30,16:30:13,NON-COMPLIANT,0.9496,89.92%
2026-03-30,16:30:14,NON-COMPLIANT,0.8804,76.08%
2026-03-30,16:30:16,NON-COMPLIANT,0.9278,85.56%
2026-03-30,16:30:17,NON-COMPLIANT,0.6299,25.98%
2026-03-30,16:30:19,NON-COMPLIANT,0.9699,93.99%
2026-03-30,16:30:20,NON-COMPLIANT,0.9366,87.32%
2026-03-30,16:39:08,NON-COMPLIANT,0.8950,79.01%
2026-03-30,16:39:14,NON-COMPLIANT,0.9545,90.91%
2026-03-30,16:40:12,NON-COMPLIANT,0.9882,97.63%
2026-03-30,16:40:18,NON-COMPLIANT,0.9110,82.20%
2026-03-30,16:42:07,NON-COMPLIANT,0.9656,93.12%
2026-03-30,16:47:53,COMPLIANT,0.2295,54.10%
2026-03-30,16:47:59,NON-COMPLIANT,0.5340,6.81%
2026-03-30,16:49:17,COMPLIANT,0.0302,93.96%
2026-03-30,16:49:22,COMPLIANT,0.1024,79.53%
2026-03-30,16:49:28,COMPLIANT,0.4114,17.73%
2026-03-30,16:49:34,COMPLIANT,0.1524,69.52%
2026-03-30,16:49:43,NON-COMPLIANT,0.8436,68.72%
2026-03-30,16:49:53,NON-COMPLIANT,0.9806,96.13%
